id,planet_name,star_name,star_type,planet_type,orbital_distance_au,orbital_period_days,day_length_hours,axial_tilt_deg,mean_temp_c,temp_range_c,gravity_g,escape_velocity_kms,atmospheric_pressure_atm,atmosphere_primary_gases,oxygen_percent,co2_percent,methane_percent,water_presence,surface_composition,dominant_biome,albedo,cloud_coverage_percent,storm_frequency,seismic_activity,magnetic_field,radiation_level,moons_count,rings,native_biology,invasive_risk,rare_mineral_index,energy_harvest_potential,terraforming_difficulty,colonization_cost_index,strategic_value_rating,primary_hazard,viability_class,exploration_log,environmental_report,incident_report,image_prompt,environment_type,name,description,settlement_index
3258,Thalassa Profundis,Miaplacidus Nonus Decimus,Brown dwarf companion,super-Earth,3.5,1247.3,18.5,2.1,-8.2,47.3,1.15,13.8,1.42,N2 78% O2 18% Ar 3% CH4 1%,18.0,0.04,1.0,global ocean,volcanic,bioluminescent fungal forest,0.52,74.5,frequent,extreme,weak,low,2.0,no,complex,3.0,42.0,moderate,4.0,68.0,71.0,storms,Not Viable,"Surface contact established. Ocean world confirmed - no land masses detected within scanning range. We've deployed floating research platform anchored to subsurface geological formation. Water depth at this location: four-point-three kilometers. The ocean extends globally, dark and mysterious. Atmospheric pressure at one-point-four standard, high humidity, constant cloud coverage. Rain is frequent and warm. The star is obscured most of the time, creating dim, diffuse lighting conditions. Water samples show high salinity and complex chemistry. Biological activity is abundant - we've netted dozens of species in preliminary trawls, ranging from microscopic plankton analogues to meter-long predatory swimmers. Dr. Reeves believes we're seeing only surface-layer ecology; the deep ocean likely hosts entirely different ecosystems. Sonar mapping reveals massive geological structures on the ocean floor, possibly volcanic. The constant motion of the platform is challenging for equipment calibration. No solid ground means all infrastructure must be floating or submersible. Resource extraction would focus on aquaculture and oceanic minerals. Colonization potential is limited but not zero - floating cities are theoretically viable. The isolation and monotony of endless ocean is psychologically taxing. Weather systems are powerful but predictable. This world is beautiful in its simplicity but challenging for permanent settlement. Recommend specialized marine research teams for extended study.",152.25743292050294,136.65784050652616,"Dramatic scene of a water world with endless ocean under stormy grey skies, massive waves crashing against a small floating research platform, and a pale sun breaking through the clouds in the distance",Ammonia-Based,Thalassa Profundis,"Endless oceans shroud this super-Earth orbiting a brown dwarf, where complex marine life thrives in the darkness beneath perpetual storm clouds. Extreme seismic activity fuels hydrothermal ecosystems rich in rare minerals, making it a compelling target for specialized marine research and resource extraction despite its hostile conditions.",61.93
3259,Rubicon Drift,Miaplacidus Nonus Decimus,Subdwarf,tidally locked,0.1436560671507909,6.338029847935335,6.52114825708773,0.3328391432147751,67.38918625536664,29.896135615060835,0.8420074309238921,29.448884142402335,0.4136973125860249,N2 82% O2 16% CO2 2%,16.0,2.0,0.2,none,crystalline,sulfur geysers,0.4251761400241787,0.8229250745456976,seasonal,moderate,strong,high,2.0,no,complex,2.0,21.0,extreme,,27.0,21.0,unknown_anomaly,Partial Terraforming Required,"Touch down confirmed. This place is hell with a view. Atmospheric pressure at three-point-seven standard - we're effectively underwater in terms of suit stress. The sulfur dioxide concentrations make every seal critical. Volcanic activity visible on three horizons, with lava flows creating new geography in real-time. Surface temperature fluctuates wildly between thermal vents and shadow zones. The sky burns orange-red, choked with ash that our filters are already struggling to process. Seismic sensors registered four significant tremors in the first hour alone. Despite the hostility, there's something mesmerizing about the raw geological violence on display. Mineral scans are off the charts - iridium, platinum group metals, and several compounds we can't immediately identify. This world is a treasure trove if we can survive long enough to extract anything. Radiation levels are elevated but manageable with shielding. No biological activity detected, which is unsurprising given the conditions. The science team is excited; the engineers are calculating survival odds. Establishing hardened research station in a lava tube system for thermal stability. Mission duration limited to two weeks maximum before we risk equipment failure. Every moment here feels borrowed.",,,"Wide-angle scene of a high-gravity super-Earth with compressed vegetation hugging the ground, dense fog rolling through metallic-blue mineral deposits, and a reinforced landing craft dwarfed by the massive landscape under a bright white sun",,Rubicon Drift,"A geologically violent tidally-locked world wreathed in sulfur geysers and molten lava flows, where extreme mineral wealth comes at the cost of relentless seismic activity and toxic atmospheric conditions. This high-radiation crystalline realm demands hardened infrastructure and limited mission windows, yet promises unprecedented access to rare platinum-group metals and unidentified compounds.",60.89
3260,Nocturne,Markeb Beta-3,G-type main sequence,relic/artificial world,0.776481003335345,4.274914813947996,22.641034285880593,0.3910783747206419,1.0,122.83422295754308,0.6108123223547174,,0.8332108722272656,CO2 85% N2 10% SO2 5%,,85.0,0.0,trace,ice,volcanic ashlands,0.18,77.7,frequent,high,moderate,moderate,1.0,no,unknown,5.0,3.0,extreme,7.0,78.0,42.0,toxic_air,Research Outpost Only,"Planetary insertion complete. Weather systems here are violent beyond projections. We've already weathered two storm fronts with wind speeds exceeding two hundred kilometers per hour. The atmosphere is dense, pressure at two-point-one standard, composition heavily nitrogen with oxygen at acceptable levels. The dominant biome appears to be grassland analogues - tall, fibrous plants that bend but don't break in the constant wind. Purple-tinged vegetation suggests different photosynthetic chemistry than Earth baseline. We've observed several large fauna at distance, quadrupedal herbivore analogues moving in herds. Predator species likely present but not yet documented. The biodiversity here is remarkable. Dr. Okonkwo is cataloguing species faster than we can process samples. Water is abundant in river systems and scattered lakes. Soil composition is rich in organic matter. This world could support agriculture with minimal modification. Temperature range is challenging but manageable with proper infrastructure. The day-night cycle is rapid, creating frequent thermal shifts. Magnetic field is moderate, providing some radiation protection. Primary hazard assessment: weather volatility and unknown biological threats. Establishing fortified research camp with storm shelters. Initial colonization assessment: promising, pending long-term biological compatibility studies. The potential for sustainable settlement here is significant. Recommend priority status for development.",,,"Wide shot of a volcanic world's caldera lake filled with liquid sulfur, creating toxic yellow mists, with a shielded research platform floating on the surface and a red giant star visible through the haze",,Nocturne,,55.29
3261,Zephyria-7,Menkent Zeta-3,Wide binary,gas giant moon,3.061044783602058,4.816267180076963,42.50185068086751,0.5133932483094138,83.64473258659122,49.173583399454,0.4965575310699083,13.35109908440395,1.2,CH4 70% C2H6 20% N2 10%,0.0,0.0,70.0,subsurface,ice,shallow tidal pools,0.4465281353502314,0.3639447521238584,rare,high,weak,high,2.0,no,unknown,2.0,15.0,moderate,8.0,78.0,35.0,predators,Partial Terraforming Required,"First contact with surface at coordinates transmitted. The ice extends infinitely in all directions, broken only by pressure ridges and the occasional cryovolcano venting subsurface gases. Temperature readings at minus one-hundred-twelve Celsius. The star hangs low and dim, providing barely enough light to see by. We're running thermal generators at maximum to maintain habitat integrity. Preliminary drilling operations have begun - the ice layer is estimated at forty kilometers thick before reaching the subsurface ocean. Sonar mapping suggests liquid water beneath, possibly heated by tidal flexing from the parent gas giant visible as a massive crescent dominating the sky. The auroras here are constant and spectacular, green and violet curtains dancing across the methane-tinged atmosphere. No surface biology, but the ocean below remains the primary target. Dr. Shen believes the conditions could support chemosynthetic ecosystems around hydrothermal vents. We've deployed autonomous submarines through the drill shaft. Waiting for telemetry. The isolation is profound - our nearest support is three months away. This mission will test every protocol we have. The ice creaks and groans constantly, a reminder that we're guests on a world that doesn't care if we survive.",,,"Panoramic view of a turquoise ammonia sea with crystalline wave formations under a pale binary star system, featuring floating ice platforms and a research drone hovering above the chemically active surface",Ice World,Zephyria-7,"Beneath the ice shell of this methane-atmosphere moon lies a subsurface ocean heated by tidal forces from its parent gas giant, offering tantalizing hints of chemosynthetic life in hydrothermal vent systems. Extreme cold, high radiation, and seismic instability make colonization a distant prospect, though its energy potential and scientific value warrant continued research.",45.87
3262,Meridian Reach,Regulus Theta-3,Orange giant,tidally locked,0.5359055792209637,8.99201416856096,12.788803733072823,0.7488091627499198,105.49283431670918,28.876319875661977,0.6882377529875383,5.031222897355679,2.0051607650619383,N2 30% CH4 65% Ar 5%,0.0,0.0,65.0,trace,volcanic,hydrothermal jungle,0.86,51.66,rare,moderate,moderate,extreme,3.0,yes,microbial,1.0,23.0,extreme,6.0,92.0,34.0,toxic_air,Not Viable,"Mission log, surface operations commenced. Tidally locked rotation confirmed - we've established base camp in the terminator zone where temperatures are survivable. The dayside is a scorched wasteland, temperatures exceeding four hundred Celsius. The nightside is frozen solid, approaching minus one-fifty. Here in the twilight band, we have a narrow habitable corridor perhaps five hundred kilometers wide. Perpetual sunset conditions create surreal lighting - the star hangs motionless on the horizon, casting everything in deep orange and shadow. Wind patterns are extreme, driven by the temperature differential between hemispheres. Atmospheric pressure is low but adequate. Water exists as ice on the nightside and vapor on the dayside, with liquid pools in our zone. We've detected microbial life in the water sources - simple but definitely biological. This narrow band of habitability could support limited colonization with significant infrastructure investment. The psychological impact of eternal twilight on long-term residents is unknown. Establishing research outpost to study adaptation potential. Mineral resources appear adequate. Strategic value is moderate - the location could serve as a waystation but not a primary colony. The eerie permanence of the light is already affecting crew morale. Recommend rotation schedules and enhanced psychological support for any permanent installation.",,,"Sweeping view of a rogue planet's geothermal vents creating islands of warmth in an otherwise frozen wasteland, with bioluminescent bacterial mats glowing orange around steaming fissures and stars visible in the black daytime sky",,Meridian Reach,"Trapped in eternal twilight between scorching day and frozen night, Meridian Reach offers a razor-thin habitable band where geothermal activity sustains primitive microbial ecosystems. This tidally locked world demands extraordinary infrastructure investment but could serve as a strategic research outpost for studying extreme habitability limits.",47.2
3263,Glacius Prime,Kepler-442,K-type main sequence,ice world,0.29,6.12,22.15,0.73,-112.0,17.0,0.57,11.21,2.77,N2 82% O2 16% CO2 2%,16.0,2.0,1.0,subsurface,ice,cryogenic pressure ridges,0.4,15.0,frequent,moderate,weak,low,1.0,no,microbial,2.0,45.0,moderate,7.0,88.0,59.0,seismic,Research Outpost Only,"First contact with surface at coordinates transmitted. The ice extends infinitely in all directions, broken only by pressure ridges and the occasional cryovolcano venting subsurface gases. Temperature readings at minus one-hundred-twelve Celsius. The star hangs low and dim, providing barely enough light to see by. We're running thermal generators at maximum to maintain habitat integrity. Preliminary drilling operations have begun - the ice layer is estimated at forty kilometers thick before reaching the subsurface ocean. Sonar mapping suggests liquid water beneath, possibly heated by tidal flexing from the parent gas giant visible as a massive crescent dominating the sky. The auroras here are constant and spectacular, green and violet curtains dancing across the methane-tinged atmosphere. No surface biology, but the ocean below remains the primary target. Dr. Shen believes the conditions could support chemosynthetic ecosystems around hydrothermal vents. We've deployed autonomous submarines through the drill shaft. Waiting for telemetry. The isolation is profound - our nearest support is three months away. This mission will test every protocol we have. The ice creaks and groans constantly, a reminder that we're guests on a world that doesn't care if we survive.",157.88576479550505,82.73878221302371,"Wide shot of a volcanic world's caldera lake filled with liquid sulfur, creating toxic yellow mists, with a shielded research platform floating on the surface and a red giant star visible through the haze",Subglacial Ocean,,,53.15
3264,Thalassa Profundis,,Binary system (G+M),volcanic world,0.2266758848916511,4.728517904717736,47.73438434122783,0.4510213874726708,285.0,65.0,1.02,11.2,1.01,N2 78% O2 21% Ar 1%,21.0,0.04,0.0002,global ocean,rocky,temperate forests,0.3,65.0,seasonal,low,strong,low,1.0,no,complex,2.0,35.0,high,1.0,15.0,92.0,unknown_anomaly,Immediately Colonizable,"Landing confirmed in the northern temperate zone. This planet is remarkably Earth-like, almost suspiciously so. Oxygen at twenty-one percent, nitrogen dominant, trace gases within normal parameters. Temperature is mild, gravity at one-point-zero-two standard feels like home. The landscape is forested with towering vegetation analogues, some reaching heights of sixty meters. Biodiversity appears exceptional. We've catalogued forty-three distinct species in the first day, including flying fauna and complex invertebrates. Water is abundant in streams and lakes, all testing potable with minimal treatment. Soil is rich and fertile. The star is G-type, providing familiar yellow-white light. Day length is twenty-six hours, close enough to human circadian rhythms to avoid major adjustment issues. This world seems almost designed for human habitation. Dr. Alvarez is cautiously optimistic but warns against complacency - Earth-like doesn't mean safe. We're conducting extensive biological surveys to identify potential pathogens or allergens. No large predators observed yet, but we're maintaining defensive perimeters. Magnetic field is strong, radiation levels are low, seismic activity is minimal. If the long-term studies confirm initial impressions, this could be a priority colonization target. The crew is energized by the familiar environment. Establishing permanent research station with expansion potential. This might be the world we've been searching for.",174.12862853466024,114.6670237569436,"Cinematic landscape of a moon orbiting a gas giant with the massive parent planet dominating half the sky in swirling browns and whites, rocky terrain in shadow with a small habitat lit from within at dusk",Temperate Terrestrial,Thalassa Profundis,"An Earth-analog world orbiting a G-type star, Thalassa Profundis presents nearly ideal conditions for immediate human colonization with thriving complex ecosystems already established across temperate forest biomes. Mysterious subsurface electromagnetic anomalies suggest the planet may harbor unknown phenomena worthy of scientific investigation before large-scale settlement.",69.83
3265,Azuris,Saiph Omicron,Subdwarf,ice world,0.8234,187.3,26.4,12.1,-18.0,67.0,0.62,7.2,1.8,CO2 78% N2 15% SO2 4% Ar 3%,0.0,78.0,0.0,subsurface,ice,cryogenic sulfur plains,0.68,34.5,frequent,moderate,moderate,moderate,2.0,no,none,2.0,78.0,high,8.0,92.0,71.0,toxic_air,Research Outpost Only,"Touch down confirmed. This place is hell with a view. Atmospheric pressure at three-point-seven standard - we're effectively underwater in terms of suit stress. The sulfur dioxide concentrations make every seal critical. Volcanic activity visible on three horizons, with lava flows creating new geography in real-time. Surface temperature fluctuates wildly between thermal vents and shadow zones. The sky burns orange-red, choked with ash that our filters are already struggling to process. Seismic sensors registered four significant tremors in the first hour alone. Despite the hostility, there's something mesmerizing about the raw geological violence on display. Mineral scans are off the charts - iridium, platinum group metals, and several compounds we can't immediately identify. This world is a treasure trove if we can survive long enough to extract anything. Radiation levels are elevated but manageable with shielding. No biological activity detected, which is unsurprising given the conditions. The science team is excited; the engineers are calculating survival odds. Establishing hardened research station in a lava tube system for thermal stability. Mission duration limited to two weeks maximum before we risk equipment failure. Every moment here feels borrowed.",190.2806159167832,145.1283742676889,"Wide shot of a volcanic world's caldera lake filled with liquid sulfur, creating toxic yellow mists, with a shielded research platform floating on the surface and a red giant star visible through the haze",Cryovolcanic,,,54.63
3266,Chloris,Suhail Epsilon-3,Binary system (G+M),terrestrial,0.1564450303238246,5.176418900587096,44.85235685883259,0.8415153863222236,-40.0,85.0,0.4712721592529068,7.516347475766505,0.5274386624813657,CO2 85% N2 10% SO2 5%,0.0,85.0,0.0,none,rocky,regolith plains,0.35,27.65,constant,moderate,moderate,extreme,4.0,no,none,1.0,26.0,moderate,9.0,92.0,45.0,seismic,Research Outpost Only,"Surface contact established. Ocean world confirmed - no land masses detected within scanning range. We've deployed floating research platform anchored to subsurface geological formation. Water depth at this location: four-point-three kilometers. The ocean extends globally, dark and mysterious. Atmospheric pressure at one-point-four standard, high humidity, constant cloud coverage. Rain is frequent and warm. The star is obscured most of the time, creating dim, diffuse lighting conditions. Water samples show high salinity and complex chemistry. Biological activity is abundant - we've netted dozens of species in preliminary trawls, ranging from microscopic plankton analogues to meter-long predatory swimmers. Dr. Reeves believes we're seeing only surface-layer ecology; the deep ocean likely hosts entirely different ecosystems. Sonar mapping reveals massive geological structures on the ocean floor, possibly volcanic. The constant motion of the platform is challenging for equipment calibration. No solid ground means all infrastructure must be floating or submersible. Resource extraction would focus on aquaculture and oceanic minerals. Colonization potential is limited but not zero - floating cities are theoretically viable. The isolation and monotony of endless ocean is psychologically taxing. Weather systems are powerful but predictable. This world is beautiful in its simplicity but challenging for permanent settlement. Recommend specialized marine research teams for extended study.",,,"Dramatic landscape of a high-pressure ocean world's rare surface island, with crushing waves of dark blue water under thick grey clouds, bioluminescent creatures visible beneath the surface, and a reinforced habitat clinging to the rocks",,Chloris,"A harsh, airless terrestrial world orbiting a binary star system, Chloris presents extreme radiation hazards and perpetual seismic instability that render it unsuitable for direct colonization. Its thin, toxic atmosphere of carbon dioxide and sulfur compounds, combined with constant geological upheaval, makes it valuable primarily as a research outpost for studying planetary formation in binary systems.",42.58
3267,Obsidian Crown,Vega Prime,Binary system (K+K),super-Earth,0.95,3.8,51.6,0.6,22.0,18.0,1.1,13.2,1.2,N2 78% O2 18% Ar 3% trace gases 1%,18.0,0.04,0.0002,global ocean,rocky,bioluminescent tide pools,0.47,35.0,rare,low,moderate,moderate,3.0,no,complex,2.0,45.0,high,3.0,42.0,78.0,unknown_anomaly,Research Outpost Only,"Landing sequence completed without incident at local dawn. First impressions: this world is alive in ways the probes couldn't capture. Bioluminescent organisms carpet the coastal regions, creating waves of blue-green light that pulse in response to our movements. Dr. Kesh theorizes a planet-wide mycelial network may be coordinating these responses. Air quality is breathable with minimal filtration - oxygen levels at eighteen percent, nitrogen dominant, trace noble gases. The ocean stretches to the horizon, darker than Earth's seas, with periodic eruptions of what appear to be thermal vents creating steam columns kilometers high. We've catalogued seventeen distinct species in the first six hours alone, all invertebrate analogues. The magnetic field here is remarkably strong, playing havoc with our navigation systems but providing excellent radiation shielding. Gravity at one-point-one Earth standard feels heavy after the journey. Establishing research camp on the basaltic shelf overlooking the primary tide pool system. Water samples show complex organic chemistry. This could be the discovery of the decade. Recommend immediate escalation to xenobiology teams and extended mission duration. The potential here is extraordinary.",220.79152879161705,140.4109155719671,"Wide vista of wind-carved sandstone canyons under three moons and a yellow sun at golden hour, with massive dust devils spiraling in the distance and survey equipment casting sharp shadows on the ochre terrain",Ammonia-Based,Obsidian Crown,"A bioluminescent ocean world orbiting a binary star system, Obsidian Crown harbors complex invertebrate life forms that communicate through coordinated light displays across vast tide pool networks. Its moderate radiation environment and breathable atmosphere make it a compelling research destination, though the true nature of its crystalline formations and distributed biological intelligence remains tantalizingly unexplored.",75.39
3268,Ironheart,Rigel Kentaurus,K-type main sequence,terrestrial,0.3509683063523529,6.224344645156276,23.756245335796017,0.603089970665859,-18.5,65.0,0.82,8.2,1.1,N2 78% O2 18% Ar 3% CO2 1%,18.0,1.0,0.2,seas,rocky,temperate coniferous forests,0.32,45.0,seasonal,low,strong,low,2.0,no,complex,3.0,42.0,moderate,2.0,35.0,78.0,unknown_anomaly,Immediately Colonizable,"Landing confirmed in the northern temperate zone. This planet is remarkably Earth-like, almost suspiciously so. Oxygen at twenty-one percent, nitrogen dominant, trace gases within normal parameters. Temperature is mild, gravity at one-point-zero-two standard feels like home. The landscape is forested with towering vegetation analogues, some reaching heights of sixty meters. Biodiversity appears exceptional. We've catalogued forty-three distinct species in the first day, including flying fauna and complex invertebrates. Water is abundant in streams and lakes, all testing potable with minimal treatment. Soil is rich and fertile. The star is G-type, providing familiar yellow-white light. Day length is twenty-six hours, close enough to human circadian rhythms to avoid major adjustment issues. This world seems almost designed for human habitation. Dr. Alvarez is cautiously optimistic but warns against complacency - Earth-like doesn't mean safe. We're conducting extensive biological surveys to identify potential pathogens or allergens. No large predators observed yet, but we're maintaining defensive perimeters. Magnetic field is strong, radiation levels are low, seismic activity is minimal. If the long-term studies confirm initial impressions, this could be a priority colonization target. The crew is energized by the familiar environment. Establishing permanent research station with expansion potential. This might be the world we've been searching for.",227.4943599490388,140.92228127884795,"Dramatic landscape of a high-pressure ocean world's rare surface island, with crushing waves of dark blue water under thick grey clouds, bioluminescent creatures visible beneath the surface, and a reinforced habitat clinging to the rocks",Crystalline,Verdantis,"A temperate terrestrial world orbiting a K-type star, Verdantis presents Earth-like conditions with breathable atmosphere, stable oceans, and thriving complex biosphere. Its strong magnetic field and moderate climate make it an exceptional candidate for immediate human colonization, though localized electromagnetic anomalies warrant further investigation.",74.86
3269,Helion Tertius,Procyon,F-type main sequence,gas giant moon,0.0969168427287382,6.824286120896694,7.6586434318306,0.5415275575164221,-18.0,56.0,0.2519654638800889,5.752401321099356,0.2779771124107129,N2 90% O2 8% Ar 2%,8.0,0.1,0.7,none,rocky,mineral garden formations,0.5765449299021896,27.0,frequent,extreme,moderate,low,2.0,no,unknown,1.0,14.0,extreme,4.0,56.0,89.0,seismic,Not Viable,"Successful landing despite magnetic anomalies that nearly scrambled our guidance systems. This planet defies easy categorization. The ruins - and they are definitely ruins - stretch across the valley floor in geometric patterns that suggest intentional design. No biological signatures, no radiation beyond background levels, no obvious hazards, yet everything about this place screams abandonment. The structures are composed of a metallic alloy that resists our analysis tools. Age estimates range from ten thousand to ten million years. Atmosphere is thin but breathable with supplementation. Gravity is light, point-seven-eight standard, making movement almost bouncy. The star is a stable K-type, providing consistent illumination that casts long shadows across the archaeological site. We've documented what appear to be transportation networks, residential blocks, and a central structure that might have been administrative or religious. No bodies, no artifacts beyond the architecture itself. Dr. Yuen suggests a planned evacuation rather than catastrophic event. The silence is oppressive. Wind whistles through empty corridors. We're proceeding with extreme caution, documenting everything. This discovery will rewrite our understanding of galactic history. Recommend immediate dispatch of specialized archaeological teams and extended mission parameters. Whatever civilization built this deserves to be remembered.",,,"Cinematic shot of a tidally locked world's terminator zone with half the sky blazing orange and half in deep purple darkness, showing a rocky transition landscape with a small outpost silhouette and perpetual storm clouds on the horizon",,Helion Tertius,"Ancient geometric ruins sprawl across this low-gravity moon orbiting a distant star, their metallic composition and mysterious abandonment suggesting a civilization that vanished millennia ago. Extreme seismic activity and frequent storms make this archaeological treasure a hazardous research destination requiring specialized equipment and careful site documentation.",55.85
3270,Nyx Obscura,,White dwarf remnant,tidally locked,0.5003400086220505,4.748957576459696,38.66323977611409,0.3722504770881233,45.07841493712762,63.5392700120812,0.6668825885890344,16.71393519365062,0.8641672155402598,Ar 50% N2 40% CO2 10%,0.0,10.0,0.0,subsurface,sandy,geothermal oasis,0.872510635453805,0.3653129826910783,constant,high,moderate,extreme,1.0,no,unknown,3.0,16.0,high,4.0,66.0,48.0,unknown_anomaly,Partial Terraforming Required,"Surface contact established. Ocean world confirmed - no land masses detected within scanning range. We've deployed floating research platform anchored to subsurface geological formation. Water depth at this location: four-point-three kilometers. The ocean extends globally, dark and mysterious. Atmospheric pressure at one-point-four standard, high humidity, constant cloud coverage. Rain is frequent and warm. The star is obscured most of the time, creating dim, diffuse lighting conditions. Water samples show high salinity and complex chemistry. Biological activity is abundant - we've netted dozens of species in preliminary trawls, ranging from microscopic plankton analogues to meter-long predatory swimmers. Dr. Reeves believes we're seeing only surface-layer ecology; the deep ocean likely hosts entirely different ecosystems. Sonar mapping reveals massive geological structures on the ocean floor, possibly volcanic. The constant motion of the platform is challenging for equipment calibration. No solid ground means all infrastructure must be floating or submersible. Resource extraction would focus on aquaculture and oceanic minerals. Colonization potential is limited but not zero - floating cities are theoretically viable. The isolation and monotony of endless ocean is psychologically taxing. Weather systems are powerful but predictable. This world is beautiful in its simplicity but challenging for permanent settlement. Recommend specialized marine research teams for extended study.",,,"Sweeping vista of a carbon-rich world with graphite mountains and diamond deposits glittering in the rock faces, under a hazy brown atmosphere and a distant yellow sun, with mining survey equipment for scale",,Nyx Obscura,"A tidally locked world orbiting a white dwarf remnant, Nyx Obscura presents an extreme environment where geothermal oases punctuate endless sandy plains under constant radiation bombardment. Its subsurface water reserves and high energy-harvest potential make it a compelling target for specialized research outposts, despite the hostile surface conditions and unknown biological signatures.",53.49
3271,Cobaltis Major,,Close binary (tidal heating),relic/artificial world,0.1052,4.9886,21.51,0.551,1.0,81.64,0.6722,20.72,0.8448,He 55% H2 40% Ne 5%,0.01,1.39,0.58,trace,sandy,hydrothermal jungle,0.274,0.39,constant,moderate,strong,extreme,2.0,no,microbial,1.0,31.0,moderate,9.0,87.0,62.0,radiation,Research Outpost Only,"Successful landing despite magnetic anomalies that nearly scrambled our guidance systems. This planet defies easy categorization. The ruins - and they are definitely ruins - stretch across the valley floor in geometric patterns that suggest intentional design. No biological signatures, no radiation beyond background levels, no obvious hazards, yet everything about this place screams abandonment. The structures are composed of a metallic alloy that resists our analysis tools. Age estimates range from ten thousand to ten million years. Atmosphere is thin but breathable with supplementation. Gravity is light, point-seven-eight standard, making movement almost bouncy. The star is a stable K-type, providing consistent illumination that casts long shadows across the archaeological site. We've documented what appear to be transportation networks, residential blocks, and a central structure that might have been administrative or religious. No bodies, no artifacts beyond the architecture itself. Dr. Yuen suggests a planned evacuation rather than catastrophic event. The silence is oppressive. Wind whistles through empty corridors. We're proceeding with extreme caution, documenting everything. This discovery will rewrite our understanding of galactic history. Recommend immediate dispatch of specialized archaeological teams and extended mission parameters. Whatever civilization built this deserves to be remembered.",139.05611931477952,118.76991728200488,"Cinematic view of a low-gravity moon with towering ice geysers erupting kilometers into the thin atmosphere, creating rainbow halos around a distant blue star, with a survey drone captured mid-flight for scale",Desert,Cobaltis Major,"Ancient geometric ruins sprawl across a low-gravity world orbiting a violent binary star, their metallic structures defying analysis and suggesting a civilization that vanished eons ago. Extreme radiation and constant atmospheric storms make this archaeological treasure inaccessible to permanent settlement, relegating it to carefully monitored research expeditions.",59.96
3272,Pyroclast Beta,Ross 128,red dwarf,relic/artificial world,0.4113788407452461,5.311031261432092,43.45821681443827,0.6484363963238086,104.08458836400894,36.993295429868766,0.843427617496883,13.247329858846744,0.7397750237058034,N2 90% O2 8% Ar 2%,,0.5,0.3,seas,metallic,geometric ruins,0.5225268394100777,8.0,rare,extreme,weak,high,1.0,no,microbial,2.0,44.0,high,7.0,85.0,92.0,storms,Research Outpost Only,"Successful landing despite magnetic anomalies that nearly scrambled our guidance systems. This planet defies easy categorization. The ruins - and they are definitely ruins - stretch across the valley floor in geometric patterns that suggest intentional design. No biological signatures, no radiation beyond background levels, no obvious hazards, yet everything about this place screams abandonment. The structures are composed of a metallic alloy that resists our analysis tools. Age estimates range from ten thousand to ten million years. Atmosphere is thin but breathable with supplementation. Gravity is light, point-seven-eight standard, making movement almost bouncy. The star is a stable K-type, providing consistent illumination that casts long shadows across the archaeological site. We've documented what appear to be transportation networks, residential blocks, and a central structure that might have been administrative or religious. No bodies, no artifacts beyond the architecture itself. Dr. Yuen suggests a planned evacuation rather than catastrophic event. The silence is oppressive. Wind whistles through empty corridors. We're proceeding with extreme caution, documenting everything. This discovery will rewrite our understanding of galactic history. Recommend immediate dispatch of specialized archaeological teams and extended mission parameters. Whatever civilization built this deserves to be remembered.",,,"Wide-angle scene of a planet with extreme axial tilt showing seasonal ice sheets advancing across a barren plain, with a small outpost in the transition zone and dramatic cloud formations in the purple-grey sky",Low-Gravity,Pyroclast Beta,"An enigmatic relic world orbiting a red dwarf, Pyroclast Beta bears the unmistakable geometric imprint of an ancient vanished civilization whose metallic structures sprawl across its barren surface in haunting silence. Despite extreme seismic activity and high radiation, the planet's preserved ruins and stable atmosphere make it an unparalleled archaeological treasure and strategic research priority.",56.01
3273,Azuris,Mizar Kappa,Brown dwarf companion,volcanic world,0.61,5.0,18.0,0.2,163.0,60.0,0.4,13.36,0.32,N2 70% O2 25% Ar 5%,25.0,0.0,0.0,seas,rocky,algae bloom seas,0.65,49.0,constant,high,strong,low,4.0,no,unknown,3.0,26.0,moderate,4.0,61.0,88.0,toxic_air,Partial Terraforming Required,"Planetary insertion complete. Weather systems here are violent beyond projections. We've already weathered two storm fronts with wind speeds exceeding two hundred kilometers per hour. The atmosphere is dense, pressure at two-point-one standard, composition heavily nitrogen with oxygen at acceptable levels. The dominant biome appears to be grassland analogues - tall, fibrous plants that bend but don't break in the constant wind. Purple-tinged vegetation suggests different photosynthetic chemistry than Earth baseline. We've observed several large fauna at distance, quadrupedal herbivore analogues moving in herds. Predator species likely present but not yet documented. The biodiversity here is remarkable. Dr. Okonkwo is cataloguing species faster than we can process samples. Water is abundant in river systems and scattered lakes. Soil composition is rich in organic matter. This world could support agriculture with minimal modification. Temperature range is challenging but manageable with proper infrastructure. The day-night cycle is rapid, creating frequent thermal shifts. Magnetic field is moderate, providing some radiation protection. Primary hazard assessment: weather volatility and unknown biological threats. Establishing fortified research camp with storm shelters. Initial colonization assessment: promising, pending long-term biological compatibility studies. The potential for sustainable settlement here is significant. Recommend priority status for development.",,,"Cinematic landscape of a moon orbiting a gas giant with the massive parent planet dominating half the sky in swirling browns and whites, rocky terrain in shadow with a small habitat lit from within at dusk",,Azuris,"Violent storms and constant seismic activity define this volcanic world orbiting a brown dwarf, where hardy purple-tinged vegetation and mysterious fauna thrive despite extreme weather. Moderate radiation protection and abundant water resources make it a challenging but potentially rewarding candidate for long-term settlement with significant infrastructure investment.",57.8
